item_name,size,synonyms,Ingredients
Pizza,Personal,"*Pizzas, Build my own Pizza, Build your own Pizza*",Mushrooms
Pizza,Small,"*Pizzas, Build my own Pizza, Build your own Pizza*",Extra Mushroom
Pizza,Large,"*Pizzas, Build my own Pizza, Build your own Pizza*",Extra Roasted Mushrooms
Pizza,Extra Large,"*Pizzas, Build my own Pizza, Build your own Pizza*",Roasted Mushrooms
Pizza,Gluten Free,"*Pizzas, Build my own Pizza, Build your own Pizza*",Onions
Joes Famous Italian Sausage Pizza,Personal,"*Personal Joes Pizza,Italian Sausage Pizza Personal size,Personal Sausage Pizza,joes famous italian,joe famous italian sausage,joes famous italian sausage,cheese and sausage pizza,joe Famous Italian pizza*",Extra Onions
Joes Famous Italian Sausage Pizza,Small,"*Small Joes Pizza,Italian Sausage Pizza Small,Small Sausage Pizza,joes famous italian,joe famous italian sausage,joes famous italian sausage,cheese and sausage pizza,joe Famous Italian pizza,Joes Famous Italian pizza*",Caramelized Onions
Joes Famous Italian Sausage Pizza,Large,"*Large Joes Pizza,Italian Sausage Pizza Large,Large Sausage Pizza,joes famous italian,joe famous italian sausage,joes famous italian sausage,cheese and sausage pizza,joe Famous Italian pizza,Joes Famous Italian pizza*",Extra Caramelized Onions
Joes Famous Italian Sausage Pizza,Extra Large,"*Extra Large Joes Pizza,Italian Sausage Pizza Extra Large,Extra Large Sausage Pizza,joes famous italian,joe famous italian sausage,joes famous italian sausage,cheese and sausage pizza,Joes Famous Italian pizza*",Red Onion
Joes Famous Italian Sausage Pizza,Gluten Free,"*Gluten Free Joes Pizza,Italian Sausage Pizza Gluten Free,Gluten Free Sausage Pizza,joes famous italian,joe famous italian sausage,joes famous italian sausage,cheese and sausage pizza,joe Famous Italian pizza,Joes Famous Italian pizza*",Extra Bell Pepper
Chorizo Fiesta Taco Pizza,Personal,"*Personal Chorizo Pizza,Personal Fiesta Taco Pizza,Personal Chorizo Taco Pizza,Personal Taco Pizza,Chorizo Fiesta Taco,Chorizo Fiesta,Chorizo Taco,Chorizo Pizza*",Bell Pepper
Chorizo Fiesta Taco Pizza,Small,"*Small Chorizo Pizza,Small Fiesta Taco Pizza,Small Chorizo Taco Pizza,Small Taco Pizza,Chorizo Fiesta Taco,Chorizo Fiesta,Chorizo Taco,Chorizo Pizza*",Roasted Red Pepper
Chorizo Fiesta Taco Pizza,Large,"*Large Chorizo Pizza,Large Fiesta Taco Pizza,Large Chorizo Taco Pizza,Large Taco Pizza,Chorizo Fiesta Taco,Chorizo Fiesta,Chorizo Taco,Chorizo Pizza*",Extra Jalapenos
Chorizo Fiesta Taco Pizza,Extra Large,"*Extra Large Chorizo Pizza,Extra Large Fiesta Taco Pizza,Extra Large Chorizo Taco Pizza,Extra Large Taco Pizza,Chorizo Fiesta Taco,Chorizo Fiesta,Chorizo Taco,Chorizo Pizza*",Jalapenos
Chicken Carbonara Pizza,Personal,"*Personal Carbonara Pizza,Chicken Carbonara,Carbonara Chicken Pizza,Carbonara Chicken,Carbonara Pizza,Carbonara*",Extra Giardiniera
Chicken Carbonara Pizza,Small,"*Small Carbonara Pizza, Chicken Carbonara, Carbonara Chicken Pizza,Carbonara Chicken,Carbonara Pizza,Carbonara*",Giardiniera
Chicken Carbonara Pizza,Large,"*Large Carbonara Pizza, Chicken Carbonara, Carbonara Chicken Pizza,Carbonara Chicken,Carbonara Pizza,Carbonara*",Banana Peppers
Chicken Carbonara Pizza,Extra Large,"*Extra Large Carbonara Pizza, Chicken Carbonara, Carbonara Chicken Pizza,Carbonara Chicken,Carbonara Pizza,Carbonara*",Diced Tomatoes
Chicken Carbonara Pizza,Gluten Free,"*Gluten Free Carbonara Pizza, Chicken Carbonara, Carbonara Chicken Pizza,Carbonara Chicken,Carbonara Pizza,Carbonara*",Plum Tomatoes
Red and White Pizza,Personal,"*Personal Red White Pizza,Personal White Red Pizza,Personal White and Red Pizza,Red and White,White and Red,Red White,White Red,white and red Pizza*",Zucchini Squash Mix
Red and White Pizza,Small,"*Small Red White Pizza,Small White Red Pizza,Small White and Red Pizza,Red and White,White and Red,Red White,White Red,small white and red Pizza,white and red Pizza*",Extra Spinach
Red and White Pizza,Large,"*Large Red White Pizza,Large White Red Pizza,Large White and Red Pizza,Red and White,White and Red,Red White,White Red,white and red Pizza*",Spinach
Red and White Pizza,Extra Large,"*Extra Large Red White Pizza,Extra Large White Red Pizza,Extra Large White and Red Pizza,Red and White,White and Red,Red White,White Red,white and red Pizza*",Fresh Basil
Red and White Pizza,Gluten Free,"*Gluten Free Red White Pizza,Gluten Free White Red Pizza,Gluten Free White and Red Pizza,Red and White,White and Red,Red White,White Red,white and red Pizza*",Fresh Garlic
